id,last_click,last_url,input_text,cover_text,selected_image,time_stamp
932,"Multiple touches registered: 2 touches,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-01 18:57:42.581000+00:00
933,"Multiple touches registered: 2 touches,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-01 18:57:42.678000+00:00
934,"Multiple touches registered: 3 touches,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-01 18:57:42.766000+00:00
935,"Multiple touches registered: 3 touches,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-01 18:57:42.853000+00:00
936,"Multiple touches registered: 2 touches,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-01 18:57:42.984000+00:00
937,"Ad for Your Town,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-01 18:57:44.396000+00:00
938,"Multiple touches registered: 2 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:46.752000+00:00
939,"Multiple touches registered: 5 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:46.789000+00:00
940,"Multiple touches registered: 4 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:46.892000+00:00
941,"Multiple touches registered: 4 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:46.989000+00:00
942,"Multiple touches registered: 4 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:47.094000+00:00
943,"Multiple touches registered: 4 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:47.205000+00:00
944,"Multiple touches registered: 4 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:47.242000+00:00
945,"Multiple touches registered: 4 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:47.297000+00:00
946,"Multiple touches registered: 4 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:47.323000+00:00
947,"Multiple touches registered: 2 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:51.245000+00:00
948,"Multiple touches registered: 2 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:51.303000+00:00
949,"Multiple touches registered: 2 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:51.357000+00:00
950,"Multiple touches registered: 2 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:51.924000+00:00
951,"Multiple touches registered: 2 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:51.963000+00:00
952,"Multiple touches registered: 2 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:53.017000+00:00
953,"Multiple touches registered: 2 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:53.078000+00:00
954,"Multiple touches registered: 3 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:53.150000+00:00
955,"Multiple touches registered: 3 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:53.201000+00:00
956,"Multiple touches registered: 4 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:53.263000+00:00
957,"Multiple touches registered: 4 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:53.325000+00:00
958,"Multiple touches registered: 5 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:53.377000+00:00
959,"Multiple touches registered: 6 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:53.428000+00:00
960,"Multiple touches registered: 8 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:53.474000+00:00
961,"Multiple touches registered: 7 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:53.527000+00:00
962,"Multiple touches registered: 9 touches,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-01 18:57:53.610000+00:00
