id,last_click,last_url,input_text,cover_text,selected_image,time_stamp
884,"Shop Artist button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-04 15:39:22.847000+00:00
885,"Shop Artist button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-04 15:39:23.032000+00:00
886,"Shop Artist button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-04 15:39:23.252000+00:00
887,"Artist search for Bella Media Design,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-04 15:39:32.570000+00:00
888,"Opened BellaMediaDesigns.jpg,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Bella%20Media%20Design",blank,,blank,,2014-12-04 15:39:36.531000+00:00
889,"Front of card clicked,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Bella%20Media%20Design",blank,,blank,,2014-12-04 15:39:37.494000+00:00
890,"Gray area used to close,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Bella%20Media%20Design",blank,,blank,,2014-12-04 15:39:46.817000+00:00
891,"Back button to start screen,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Bella%20Media%20Design",blank,,blank,,2014-12-04 15:39:48.224000+00:00
892,"Shop Occasions button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-04 15:39:53.684000+00:00
893,"Shop Artist button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-04 15:40:05.168000+00:00
894,"Date at bottom of page,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-04 15:40:09.815000+00:00
895,"Shop Artist button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-04 15:40:15.050000+00:00
896,"Shop Artist button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-04 15:40:17.136000+00:00
897,"Shop Artist button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-04 15:40:17.854000+00:00
898,"Shop Collections button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-04 15:40:18.768000+00:00
899,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-04 15:40:25.237000+00:00
900,"Subcategory Christmas button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-04 15:40:29.088000+00:00
901,"Opened tinybee_20141031052726.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-04 15:40:37.395000+00:00
902,"Checkout button,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,tinybee_20141031052726.jpg,2014-12-04 15:40:40.277000+00:00
903,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-04 15:40:51.263000+00:00
904,"Gray area used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-04 15:40:58.515000+00:00
