id,last_click,last_url,input_text,cover_text,selected_image,time_stamp
1620,"Ad for Your Town,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-20 07:37:55.928000+00:00
1621,"Opened AllieKelley3.jpg,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-20 07:37:58.231000+00:00
1622,"Front of card clicked,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-20 07:38:01.470000+00:00
1623,          Page timeout,blank,blank,blank,blank,2014-12-20 07:43:52.506000+00:00
1624,"Shop Artist button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-20 13:36:00.746000+00:00
1625,"Shop Collections button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-20 13:36:01.438000+00:00
1626,"Shop Occasions button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-20 13:36:02.099000+00:00
1627,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-20 13:36:02.551000+00:00
1628,"Ad for New Additions,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-20 13:36:04.489000+00:00
1629,          Page timeout,blank,blank,blank,blank,2014-12-20 13:41:56.671000+00:00
1630,"Ad for Your Town,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-20 13:50:12.135000+00:00
1631,"Opened StevenBakerTorg.jpg,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-20 13:50:24.037000+00:00
1632,"Front of card clicked,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-20 13:50:31.940000+00:00
1633,"Text area clicked,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-20 13:50:34.388000+00:00
1634,          Page timeout,blank,blank,blank,blank,2014-12-20 13:56:25.384000+00:00
